Age, Height, Weight, Chest, Size, Color
38, 156.1, 71.5, 93.2,Small, red 
21, 147.5, 57.5, 90.3,Small, red 
22, 153.2, 52.2, 79.8,XX_Small, pink 
18, 164.6, 72.5, 95.7,Medium, blue 
21, 165.7, 51.7, 85.4,X_Small, yellow 
21, 164.8, 63.1, 89.6,X_Small, yellow 
18, 158.6, 53.7, 80.4,XX_Small, pink 
22, 160.9, 59.7, 90.0,Small, red 
26, 156.2, 60.7, 94.4,Small, red 
18, 150.7, 57.7, 87.5,X_Small, yellow 
22, 146.8, 49.9, 88.1,X_Small, yellow 
18, 163.6, 68.7, 92.6,Small, red 
30, 158.5, 68.0, 102.1,Large, lavender 
29, 160.7, 63.2, 91.9,Small, red 
25, 165.7, 77.6, 98.9,Medium, blue 
33, 160.6, 63.8, 96.1,Medium, blue 
32, 170.5, 78.3, 99.4,Medium, blue 
29, 160.5, 60.2, 83.6,XX_Small, pink 
37, 166.6, 77.1, 94.4,Small, red 
23, 163.5, 61.7, 89.6,X_Small, yellow 
29, 149.8, 46.2, 84.1,X_Small, yellow 
19, 161.9, 59.1, 86.3,X_Small, yellow 
20, 155.9, 57.4, 87.0,X_Small, yellow 
21, 163.9, 62.1, 90.2,Small, red 
18, 157.4, 61.8, 91.4,Small, red 
19, 153.0, 51.8, 82.4,XX_Small, pink 
18, 155.2, 63.1, 88.1,X_Small, yellow 
18, 157.2, 65.3, 92.9,Small, red 
18, 167.0, 64.6, 90.0,Small, red 
21, 157.4, 56.9, 80.7,XX_Small, pink 
18, 163.6, 66.1, 95.0,Medium, blue 
19, 157.5, 59.8, 89.2,X_Small, yellow 
21, 167.6, 53.3, 85.2,X_Small, yellow 
19, 170.5, 75.5, 107.1,Large, lavender 
19, 160.3, 70.2, 98.7,Medium, blue 
21, 159.3, 65.5, 96.1,Medium, blue 
21, 161.1, 64.4, 91.2,Small, red 
22, 167.3, 68.0, 94.7,Small, red 
18, 168.9, 71.5, 89.3,X_Small, yellow 
18, 152.9, 49.9, 83.7,XX_Small, pink 
18, 160.2, 52.3, 88.2,X_Small, yellow 
36, 176.4, 74.0, 105.7,Large, lavender 
49, 164.8, 75.0, 95.6,Medium, blue 
52, 158.7, 60.4, 97.6,Medium, blue 
22, 149.2, 43.0, 80.8,XX_Small, pink 
29, 156.7, 75.0, 108.2,Large, lavender 
27, 156.3, 71.6, 100.2,Medium, blue 
41, 166.3, 72.3, 96.6,Medium, blue 
19, 161.7, 76.5, 103.0,Large, lavender 
21, 168.3, 66.0, 90.4,Small, red 
21, 163.6, 60.0, 91.4,Small, red 
21, 162.8, 69.5, 93.3,Small, red 
20, 153.6, 63.7, 91.7,Small, red 
18, 153.0, 60.2, 87.4,X_Small, yellow 
19, 167.8, 81.5, 102.2,Large, lavender 
19, 168.2, 77.3, 95.6,Medium, blue 
